dataset_name,url_gcp,url_aws,url_azure,image_id,sequence_id,location_id,frame_num,original_label,scientific_name,common_name,datetime,annotation_level,kingdom,phylum,subphylum,superclass,class,subclass,infraclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,genus,species,subspecies,variety
NACTI,https://storage.googleapis.com/public-datasets-lila/nacti-unzipped/part0/sub041/CA-08_05_13_2016_CA-08_0008918.JPG,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/nacti-unzipped/part0/sub041/CA-08_05_13_2016_CA-08_0008918.JPG,https://lilawildlife.blob.core.windows.net/lila-wildlife/nacti-unzipped/part0/sub041/CA-08_05_13_2016_CA-08_0008918.JPG,NACTI : CA-08_05_13_2016_CA-08_0008918.JPG,NACTI : unknown,NACTI : lebec_CA-08,-1,lynx rufus,lynx rufus,bobcat,,unknown,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,felinae,,lynx,lynx rufus,,
NACTI,https://storage.googleapis.com/public-datasets-lila/nacti-unzipped/part0/sub042/CA-09_08_13_2015_CA-09_0003441.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/nacti-unzipped/part0/sub042/CA-09_08_13_2015_CA-09_0003441.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/nacti-unzipped/part0/sub042/CA-09_08_13_2015_CA-09_0003441.jpg,NACTI : CA-09_08_13_2015_CA-09_0003441.jpg,NACTI : unknown,NACTI : lebec_CA-09,-1,lynx rufus,lynx rufus,bobcat,,unknown,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,felinae,,lynx,lynx rufus,,
NACTI,https://storage.googleapis.com/public-datasets-lila/nacti-unzipped/part0/sub041/CA-08_08_04_2015_CA-08_0001446.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/nacti-unzipped/part0/sub041/CA-08_08_04_2015_CA-08_0001446.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/nacti-unzipped/part0/sub041/CA-08_08_04_2015_CA-08_0001446.jpg,NACTI : CA-08_08_04_2015_CA-08_0001446.jpg,NACTI : unknown,NACTI : lebec_CA-08,-1,lynx rufus,lynx rufus,bobcat,,unknown,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,felinae,,lynx,lynx rufus,,
Caltech Camera Traps,https://storage.googleapis.com/public-datasets-lila/caltech-unzipped/cct_images/596bdab0-23d2-11e8-a6a3-ec086b02610b.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/caltech-unzipped/cct_images/596bdab0-23d2-11e8-a6a3-ec086b02610b.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/caltech-unzipped/cct_images/596bdab0-23d2-11e8-a6a3-ec086b02610b.jpg,Caltech Camera Traps : 596bdab0-23d2-11e8-a6a3-ec086b02610b,Caltech Camera Traps : 6f0c7680-5567-11e8-99f0-dca9047ef277,Caltech Camera Traps : 43,2,bobcat,lynx rufus,bobcat,04-03-2012 22:39:06,image,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,felinae,,lynx,lynx rufus,,
NACTI,https://storage.googleapis.com/public-datasets-lila/nacti-unzipped/part0/sub038/CA-05_08_12_2015_CA-05_0000828.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/nacti-unzipped/part0/sub038/CA-05_08_12_2015_CA-05_0000828.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/nacti-unzipped/part0/sub038/CA-05_08_12_2015_CA-05_0000828.jpg,NACTI : CA-05_08_12_2015_CA-05_0000828.jpg,NACTI : unknown,NACTI : lebec_CA-05,-1,lynx rufus,lynx rufus,bobcat,,unknown,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,felinae,,lynx,lynx rufus,,
NACTI,https://storage.googleapis.com/public-datasets-lila/nacti-unzipped/part0/sub042/CA-09_02_11_2016_CA-09_0005402.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/nacti-unzipped/part0/sub042/CA-09_02_11_2016_CA-09_0005402.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/nacti-unzipped/part0/sub042/CA-09_02_11_2016_CA-09_0005402.jpg,NACTI : CA-09_02_11_2016_CA-09_0005402.jpg,NACTI : unknown,NACTI : lebec_CA-09,-1,lynx rufus,lynx rufus,bobcat,,unknown,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,felinae,,lynx,lynx rufus,,
NACTI,https://storage.googleapis.com/public-datasets-lila/nacti-unzipped/part0/sub038/CA-06_04_01_2015_CA-06_0001310.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/nacti-unzipped/part0/sub038/CA-06_04_01_2015_CA-06_0001310.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/nacti-unzipped/part0/sub038/CA-06_04_01_2015_CA-06_0001310.jpg,NACTI : CA-06_04_01_2015_CA-06_0001310.jpg,NACTI : unknown,NACTI : lebec_CA-06,-1,lynx rufus,lynx rufus,bobcat,,unknown,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,felinae,,lynx,lynx rufus,,
NACTI,https://storage.googleapis.com/public-datasets-lila/nacti-unzipped/part0/sub042/CA-09_04_06_2015_CA-09_0000755.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/nacti-unzipped/part0/sub042/CA-09_04_06_2015_CA-09_0000755.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/nacti-unzipped/part0/sub042/CA-09_04_06_2015_CA-09_0000755.jpg,NACTI : CA-09_04_06_2015_CA-09_0000755.jpg,NACTI : unknown,NACTI : lebec_CA-09,-1,lynx rufus,lynx rufus,bobcat,,unknown,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,felinae,,lynx,lynx rufus,,
Caltech Camera Traps,https://storage.googleapis.com/public-datasets-lila/caltech-unzipped/cct_images/5a02fa28-23d2-11e8-a6a3-ec086b02610b.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/caltech-unzipped/cct_images/5a02fa28-23d2-11e8-a6a3-ec086b02610b.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/caltech-unzipped/cct_images/5a02fa28-23d2-11e8-a6a3-ec086b02610b.jpg,Caltech Camera Traps : 5a02fa28-23d2-11e8-a6a3-ec086b02610b,Caltech Camera Traps : 6f1cf5c7-5567-11e8-9dec-dca9047ef277,Caltech Camera Traps : 51,1,bobcat,lynx rufus,bobcat,12-23-2011 22:12:25,image,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,felinae,,lynx,lynx rufus,,
Caltech Camera Traps,https://storage.googleapis.com/public-datasets-lila/caltech-unzipped/cct_images/5a1fe594-23d2-11e8-a6a3-ec086b02610b.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/caltech-unzipped/cct_images/5a1fe594-23d2-11e8-a6a3-ec086b02610b.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/caltech-unzipped/cct_images/5a1fe594-23d2-11e8-a6a3-ec086b02610b.jpg,Caltech Camera Traps : 5a1fe594-23d2-11e8-a6a3-ec086b02610b,Caltech Camera Traps : 6f1671f8-5567-11e8-9a98-dca9047ef277,Caltech Camera Traps : 46,2,bobcat,lynx rufus,bobcat,05-15-2011 18:38:30,image,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,felinae,,lynx,lynx rufus,,
Caltech Camera Traps,https://storage.googleapis.com/public-datasets-lila/caltech-unzipped/cct_images/59a94c7d-23d2-11e8-a6a3-ec086b02610b.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/caltech-unzipped/cct_images/59a94c7d-23d2-11e8-a6a3-ec086b02610b.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/caltech-unzipped/cct_images/59a94c7d-23d2-11e8-a6a3-ec086b02610b.jpg,Caltech Camera Traps : 59a94c7d-23d2-11e8-a6a3-ec086b02610b,Caltech Camera Traps : 6f17cf94-5567-11e8-ba9c-dca9047ef277,Caltech Camera Traps : 46,3,bobcat,lynx rufus,bobcat,11-17-2011 07:25:24,image,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,felinae,,lynx,lynx rufus,,
NACTI,https://storage.googleapis.com/public-datasets-lila/nacti-unzipped/part0/sub042/CA-09_04_06_2015_CA-09_0000816.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/nacti-unzipped/part0/sub042/CA-09_04_06_2015_CA-09_0000816.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/nacti-unzipped/part0/sub042/CA-09_04_06_2015_CA-09_0000816.jpg,NACTI : CA-09_04_06_2015_CA-09_0000816.jpg,NACTI : unknown,NACTI : lebec_CA-09,-1,lynx rufus,lynx rufus,bobcat,,unknown,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,felinae,,lynx,lynx rufus,,
NACTI,https://storage.googleapis.com/public-datasets-lila/nacti-unzipped/part0/sub041/CA-08_05_13_2016_CA-08_0008884.JPG,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/nacti-unzipped/part0/sub041/CA-08_05_13_2016_CA-08_0008884.JPG,https://lilawildlife.blob.core.windows.net/lila-wildlife/nacti-unzipped/part0/sub041/CA-08_05_13_2016_CA-08_0008884.JPG,NACTI : CA-08_05_13_2016_CA-08_0008884.JPG,NACTI : unknown,NACTI : lebec_CA-08,-1,lynx rufus,lynx rufus,bobcat,,unknown,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,felinae,,lynx,lynx rufus,,
NACTI,https://storage.googleapis.com/public-datasets-lila/nacti-unzipped/part0/sub042/CA-09_08_13_2015_CA-09_0003371.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/nacti-unzipped/part0/sub042/CA-09_08_13_2015_CA-09_0003371.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/nacti-unzipped/part0/sub042/CA-09_08_13_2015_CA-09_0003371.jpg,NACTI : CA-09_08_13_2015_CA-09_0003371.jpg,NACTI : unknown,NACTI : lebec_CA-09,-1,lynx rufus,lynx rufus,bobcat,,unknown,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,felinae,,lynx,lynx rufus,,
Caltech Camera Traps,https://storage.googleapis.com/public-datasets-lila/caltech-unzipped/cct_images/5911d72b-23d2-11e8-a6a3-ec086b02610b.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/caltech-unzipped/cct_images/5911d72b-23d2-11e8-a6a3-ec086b02610b.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/caltech-unzipped/cct_images/5911d72b-23d2-11e8-a6a3-ec086b02610b.jpg,Caltech Camera Traps : 5911d72b-23d2-11e8-a6a3-ec086b02610b,Caltech Camera Traps : 6efe0b21-5567-11e8-a9dd-dca9047ef277,Caltech Camera Traps : 75,1,bobcat,lynx rufus,bobcat,02-02-2012 08:41:18,image,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,felinae,,lynx,lynx rufus,,
NACTI,https://storage.googleapis.com/public-datasets-lila/nacti-unzipped/part0/sub041/CA-08_05_13_2016_CA-08_0008914.JPG,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/nacti-unzipped/part0/sub041/CA-08_05_13_2016_CA-08_0008914.JPG,https://lilawildlife.blob.core.windows.net/lila-wildlife/nacti-unzipped/part0/sub041/CA-08_05_13_2016_CA-08_0008914.JPG,NACTI : CA-08_05_13_2016_CA-08_0008914.JPG,NACTI : unknown,NACTI : lebec_CA-08,-1,lynx rufus,lynx rufus,bobcat,,unknown,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,felinae,,lynx,lynx rufus,,
Caltech Camera Traps,https://storage.googleapis.com/public-datasets-lila/caltech-unzipped/cct_images/598acdd0-23d2-11e8-a6a3-ec086b02610b.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/caltech-unzipped/cct_images/598acdd0-23d2-11e8-a6a3-ec086b02610b.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/caltech-unzipped/cct_images/598acdd0-23d2-11e8-a6a3-ec086b02610b.jpg,Caltech Camera Traps : 598acdd0-23d2-11e8-a6a3-ec086b02610b,Caltech Camera Traps : 6f83fcc7-5567-11e8-9e3d-dca9047ef277,Caltech Camera Traps : 57,1,bobcat,lynx rufus,bobcat,01-19-2014 15:36:13,image,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,felinae,,lynx,lynx rufus,,
NACTI,https://storage.googleapis.com/public-datasets-lila/nacti-unzipped/part0/sub042/CA-09_02_11_2016_CA-09_0005232.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/nacti-unzipped/part0/sub042/CA-09_02_11_2016_CA-09_0005232.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/nacti-unzipped/part0/sub042/CA-09_02_11_2016_CA-09_0005232.jpg,NACTI : CA-09_02_11_2016_CA-09_0005232.jpg,NACTI : unknown,NACTI : lebec_CA-09,-1,lynx rufus,lynx rufus,bobcat,,unknown,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,felinae,,lynx,lynx rufus,,
Caltech Camera Traps,https://storage.googleapis.com/public-datasets-lila/caltech-unzipped/cct_images/5874d54e-23d2-11e8-a6a3-ec086b02610b.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/caltech-unzipped/cct_images/5874d54e-23d2-11e8-a6a3-ec086b02610b.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/caltech-unzipped/cct_images/5874d54e-23d2-11e8-a6a3-ec086b02610b.jpg,Caltech Camera Traps : 5874d54e-23d2-11e8-a6a3-ec086b02610b,Caltech Camera Traps : 6efd316e-5567-11e8-8d3e-dca9047ef277,Caltech Camera Traps : 75,3,bobcat,lynx rufus,bobcat,06-19-2011 10:23:55,image,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,felinae,,lynx,lynx rufus,,
Caltech Camera Traps,https://storage.googleapis.com/public-datasets-lila/caltech-unzipped/cct_images/5903ce00-23d2-11e8-a6a3-ec086b02610b.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/caltech-unzipped/cct_images/5903ce00-23d2-11e8-a6a3-ec086b02610b.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/caltech-unzipped/cct_images/5903ce00-23d2-11e8-a6a3-ec086b02610b.jpg,Caltech Camera Traps : 5903ce00-23d2-11e8-a6a3-ec086b02610b,Caltech Camera Traps : 6f0d8175-5567-11e8-94c2-dca9047ef277,Caltech Camera Traps : 130,3,bobcat,lynx rufus,bobcat,05-23-2012 05:17:59,image,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,felinae,,lynx,lynx rufus,,
NACTI,https://storage.googleapis.com/public-datasets-lila/nacti-unzipped/part0/sub038/CA-05_01_21_2016_CA-05_0003385.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/nacti-unzipped/part0/sub038/CA-05_01_21_2016_CA-05_0003385.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/nacti-unzipped/part0/sub038/CA-05_01_21_2016_CA-05_0003385.jpg,NACTI : CA-05_01_21_2016_CA-05_0003385.jpg,NACTI : unknown,NACTI : lebec_CA-05,-1,lynx rufus,lynx rufus,bobcat,,unknown,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,felinae,,lynx,lynx rufus,,
Caltech Camera Traps,https://storage.googleapis.com/public-datasets-lila/caltech-unzipped/cct_images/589b01c4-23d2-11e8-a6a3-ec086b02610b.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/caltech-unzipped/cct_images/589b01c4-23d2-11e8-a6a3-ec086b02610b.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/caltech-unzipped/cct_images/589b01c4-23d2-11e8-a6a3-ec086b02610b.jpg,Caltech Camera Traps : 589b01c4-23d2-11e8-a6a3-ec086b02610b,Caltech Camera Traps : 6f160402-5567-11e8-9442-dca9047ef277,Caltech Camera Traps : 125,2,bobcat,lynx rufus,bobcat,01-16-2012 08:25:24,image,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,felinae,,lynx,lynx rufus,,
Caltech Camera Traps,https://storage.googleapis.com/public-datasets-lila/caltech-unzipped/cct_images/5a1cb20b-23d2-11e8-a6a3-ec086b02610b.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/caltech-unzipped/cct_images/5a1cb20b-23d2-11e8-a6a3-ec086b02610b.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/caltech-unzipped/cct_images/5a1cb20b-23d2-11e8-a6a3-ec086b02610b.jpg,Caltech Camera Traps : 5a1cb20b-23d2-11e8-a6a3-ec086b02610b,Caltech Camera Traps : 6f1809dc-5567-11e8-b8a3-dca9047ef277,Caltech Camera Traps : 46,1,bobcat,lynx rufus,bobcat,12-27-2011 21:23:35,image,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,felinae,,lynx,lynx rufus,,
Caltech Camera Traps,https://storage.googleapis.com/public-datasets-lila/caltech-unzipped/cct_images/5874d72c-23d2-11e8-a6a3-ec086b02610b.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/caltech-unzipped/cct_images/5874d72c-23d2-11e8-a6a3-ec086b02610b.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/caltech-unzipped/cct_images/5874d72c-23d2-11e8-a6a3-ec086b02610b.jpg,Caltech Camera Traps : 5874d72c-23d2-11e8-a6a3-ec086b02610b,Caltech Camera Traps : 701edade-5567-11e8-b7d2-dca9047ef277,Caltech Camera Traps : 83,3,bobcat,lynx rufus,bobcat,05-12-2014 15:37:47,image,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,felinae,,lynx,lynx rufus,,
